Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity 
"AlloVir, Inc.",ALVR,Healthcare,Biotechnology,89173328,0.7754,181208,https://www.allovir.com,-34227876,-1.65,-0.32,N/A,0.729445,0.213,-0.51823,-1.14363
"Alexander's, Inc.",ALX,Real Estate,REIT - Retail,1121918336,219.67,7908,https://www.alx-inc.com,1690964352,20.91,13.01,0.08189999,4.874947,13.481,0.04087,0.47566003
ALX Oncology Holdings Inc.,ALXO,Healthcare,Biotechnology,740342400,14.21,188719,https://www.alxoncology.com,599747520,-3.71,-2.84,N/A,4.350888,-3.427,-0.44784,-0.8216
"Alzamend Neuro, Inc.",ALZN,Healthcare,Biotechnology,4359161,0.6336,31506,https://www.alzamend.com,4475703,-1.82,-1.44,N/A,N/A,-0.362,-1.66843,-11.9626
Antero Midstream Corporation,AM,Energy,Oil & Gas Midstream,7180115456,14.92,955162,https://www.anteromidstream.com,10328900608,0.8,0.99,0.060300004,3.3325887,12.224,0.06903,0.17994
Amalgamated Financial Corp.,AMAL,Financial Services,Banks - Regional,787214016,25.79,106155,https://www.amalgamatedbank.com,667856960,3.06,3.27,0.0186,1.2757223,N/A,0.01176,0.16528
"Applied Materials, Inc.",AMAT,Technology,Semiconductor Equipment & Materials,176216637440,212.08,7639425,https://www.appliedmaterials.com,174031405056,8.7,9.53,0.0075,9.672093,21.472,0.1567,0.45193002
"Ambarella, Inc.",AMBA,Technology,Semiconductor Equipment & Materials,2008669824,49.01,790261,https://www.ambarella.com,1792968960,-4.25,-0.12,N/A,3.5470796,-12.694,-0.14124,-0.29061002
"Ambac Financial Group, Inc.",AMBC,Financial Services,Insurance - Specialty,818572544,18.1,499032,https://www.ambac.com,4873571840,1.34,0.85,N/A,0.5996952,30.46,0.0092400005,0.042
Ambipar Emergency Response,AMBI,Industrials,Waste Management,318587072,3.13,4654,https://ambipar.com,N/A,-0.14,N/A,N/A,0.15157385,N/A,0.058130004,0.01904
Ambow Education Holding Ltd. Am,AMBO,Consumer Defensive,Education & Training Services,3970932,1.4,8959,https://www.ambow.com,85358528,-1.2,N/A,N/A,0.6222222,-19.911,-0.116780005,-0.44421002
Ardagh Metal Packaging S.A.,AMBP,Consumer Cyclical,Packaging & Containers,2420486656,4.05,888075,https://www.ardaghmetalpackaging.com,6175849984,-0.14,0.24,0.0988,103.84615,10.242,0.02106,-0.30122998
"AMC Entertainment Holdings, Inc",AMC,Communication Services,Entertainment,1300587264,4.4,96660738,https://www.amctheatres.com,9666486272,-1.01,-0.49,N/A,N/A,25.101,0.0023100001,N/A
Amcor plc,AMCR,Consumer Cyclical,Packaging & Containers,14843642880,10.27,10402252,https://www.amcor.com,22194405376,0.45,0.74,0.048699997,3.7605276,11.875,0.04718,0.15945
AMC Networks Inc.,AMCX,Communication Services,Entertainment,687515904,15.61,977279,https://www.amcnetworks.com,2682621440,3.57,4.74,N/A,0.63641554,4.8,0.05441,0.11691
"Advanced Micro Devices, Inc.",AMD,Technology,Semiconductors,265834512384,164.47,65677091,https://www.amd.com,262798147584,0.69,5.6,N/A,4.735266,68.491,0.00537,0.020130001
"AMETEK, Inc.",AME,Industrials,Specialty Industrial Machinery,38609195008,166.8,1383836,https://www.ametek.com,41402408960,5.69,7.48,0.0067000003,4.305072,19.964,0.078260005,0.15766
Amedisys Inc,AMED,Healthcare,Medical Care Facilities,3085679616,94.43,196779,https://www.amedisys.com,3513730560,-0.64,5.0,N/A,2.8355656,15.51,0.06263,-0.01867
"Affiliated Managers Group, Inc.",AMG,Financial Services,Asset Management,5077289472,159.34,183244,https://www.amg.com,7985682432,18.09,24.61,0.00029999999,1.4734739,11.068,0.04646,0.18958999
Amgen Inc.,AMGN,Healthcare,Drug Manufacturers - General,167619854336,312.47,1971450,https://www.amgen.com,221931749376,7.0,20.44,0.028800001,33.376415,18.806,0.04975,0.72574997
American Homes 4 Rent,AMH,Real Estate,REIT - Residential,15358792704,36.77,889482,https://www.amh.com,18552735744,0.98,0.65,0.028299998,1.9195031,22.618,0.01806,0.05551
"Autonomix Medical, Inc.",AMIX,Healthcare,Medical Devices,47027752,2.5,22236,https://autonomix.com,47223936,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AssetMark Financial Holdings, I",AMK,Financial Services,Asset Management,2525149440,33.94,369218,https://www.assetmark.com,2380009472,1.92,2.77,N/A,1.9282994,10.778,0.081470005,0.11711001
"Amkor Technology, Inc.",AMKR,Technology,Semiconductor Equipment & Materials,8044835840,32.68,514131,https://amkor.com,7839435776,1.52,2.44,0.0095999995,2.012563,7.168,0.04467,0.09711
American Lithium Corp.,AMLI,Basic Materials,Other Industrial Metals & Mining,165534752,0.752,633213,https://www.americanlithiumcorp.com,140334528,-0.15,-0.18,N/A,0.9341614,-3.247,-0.14956,-0.24317
"Amylyx Pharmaceuticals, Inc.",AMLX,Healthcare,Biotechnology,124450616,1.83,1222173,https://amylyx.com,-245148480,-1.07,-0.81,N/A,0.3834067,3.061,-0.12307999,-0.21
AMN Healthcare Services Inc,AMN,Healthcare,Medical Care Facilities,2229675776,58.68,613842,https://www.amnhealthcare.com,3494749696,3.79,3.96,N/A,2.605221,8.288,0.0554,0.15901
"Ameriprise Financial, Inc.",AMP,Financial Services,Asset Management,43118923776,434.12,931836,https://www.ameriprise.com,39804936192,29.39,38.18,0.0136,8.866105,N/A,0.021189999,0.69356
"Amplitech Group, Inc.",AMPG,Technology,Communication Equipment,13992639,1.44,595922,https://www.amplitechinc.com,11110110,-0.26,0.77,N/A,0.52439916,-5.429,-0.047319997,-0.08895001
"Amplitech Group, Inc.",AMPGW,Technology,Communication Equipment,N/A,0.0699,1312,https://www.amplitechinc.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.047319997,-0.08895001
"Amphastar Pharmaceuticals, Inc.",AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,2126258944,43.48,328460,https://www.amphastar.com,2463817472,2.91,4.38,N/A,3.1585064,9.621,0.112629995,0.2534
"Amplitude, Inc.",AMPL,Technology,Software - Application,1133121280,9.3,474380,https://amplitude.com,824035584,-0.72,0.12,N/A,3.9108496,-9.522,-0.13215,-0.29464
"Altus Power, Inc.",AMPS,Utilities,Utilities - Renewable,617117504,3.86,1365441,https://www.altuspower.com,2041432448,-0.05,0.02,N/A,1.3487072,25.412,0.00708,-0.05039
"Amprius Technologies, Inc.",AMPX,Industrials,Electrical Equipment & Parts,129427608,1.37,1549808,https://amprius.com,126468536,-0.43,-0.4,N/A,2.1076925,-3.43,-0.26027,-0.59164
Amplify Energy Corp.,AMPY,Energy,Oil & Gas E&P,249159472,6.29,287119,https://www.amplifyenergy.com,367614656,0.7,1.31,N/A,0.6539141,4.223,0.042379998,0.08405
"Alpha Metallurgical Resources, ",AMR,Basic Materials,Coking Coal,3726432512,286.49,154011,https://www.alphametresources.com,3466477056,41.88,32.08,0.0069999998,2.3419821,3.996,0.17827,0.36830002
"Ameresco, Inc.",AMRC,Industrials,Engineering & Construction,1431460736,27.35,365006,https://www.ameresco.com,3548062720,1.09,1.9,N/A,1.5812905,23.017,0.0154,0.05865
"A-Mark Precious Metals, Inc.",AMRK,Financial Services,Capital Markets,887631424,38.77,494521,https://www.amark.com,1692392960,3.26,3.99,0.020599999,1.5212274,13.893,0.04235,0.1393
Amarin Corporation plc,AMRN,Healthcare,Drug Manufacturers - General,357456032,0.87,973628,https://www.amarincorp.com,59390732,-0.13,-0.14,N/A,0.65462756,-2.591,-0.019609999,-0.09305
"Amneal Pharmaceuticals, Inc.",AMRX,Healthcare,Drug Manufacturers - Specialty & Generic,2104999936,6.82,1093581,https://amneal.com,4849493504,-0.73,0.68,N/A,N/A,9.058,0.05446,-1.6526899
American Shared Hospital Servic,AMS,Healthcare,Medical Care Facilities,21649080,3.42,6523,https://ashs.com,N/A,0.1,0.4,N/A,0.9661017,N/A,0.029579999,0.00945
American Superconductor Corpora,AMSC,Industrials,Specialty Industrial Machinery,506269568,14.01,213239,https://www.amsc.com,409219232,-0.58,0.04,N/A,5.4155397,-59.592,-0.043309998,-0.19674999
"AMERISAFE, Inc.",AMSF,Financial Services,Insurance - Specialty,887289920,46.37,77711,https://www.amerisafe.com,814817280,3.21,2.35,0.0319,2.945436,10.447,0.03782,0.19463
Amesite Inc.,AMST,Technology,Software - Application,9584999,3.77,44481,https://www.amesite.com,5336774,-1.44,N/A,N/A,2.1905868,-1.4,-0.37233,-0.59936
"American Software, Inc.",AMSWA,Technology,Software - Application,347150048,10.45,97437,https://www.amsoftware.com,268842336,0.31,0.38,0.0421,2.6482513,25.353,0.02258,0.08076
American Tower Corporation (REI,AMT,Real Estate,REIT - Specialty,90831306752,194.51,2157225,https://www.americantower.com,142897102848,4.42,6.68,0.033299997,22.440008,20.404,0.03897,0.17229
Amerant Bancorp Inc.,AMTB,Financial Services,Banks - Regional,786926784,23.34,90230,https://www.amerantbank.com,1147268736,0.67,2.48,0.0154,1.0611986,N/A,0.0022200001,0.029189998
AMTD IDEA Group,AMTD,Financial Services,Asset Management,1737199232,1.84,112055,https://www.amtdinc.com,352958752,2.97,N/A,N/A,0.014359519,N/A,0.11192001,0.12569
"Aemetis, Inc",AMTX,Energy,Oil & Gas Refining & Marketing,170931520,3.85,313408,https://www.aemetis.com,588912640,-1.07,-0.33,N/A,N/A,-21.195,-0.09594,N/A
American Woodmark Corporation,AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1521307264,96.01,88559,https://www.americanwoodmark.com,1934408960,7.26,9.1,N/A,1.6926115,7.927,0.064899996,0.13742
American Well Corporation,AMWL,Healthcare,Health Information Services,144940768,0.4889,1659276,https://business.amwell.com,-138141184,-1.21,-0.49,N/A,0.35427538,0.593,-0.23166999,-0.62254
"America Movil, S.A.B. de C.V.",AMX,Communication Services,Telecom Services,61214334976,19.75,1444160,https://www.americamovil.com,1882750320640,1.14,1.6,0.027,3.6053302,5.931,0.06434,0.15901
"Amazon.com, Inc.",AMZN,Consumer Cyclical,Internet Retail,1922098921472,184.7,31631308,https://www.aboutamazon.com,1997590102016,3.56,5.76,N/A,8.868296,20.677,0.059510004,0.20305
"AutoNation, Inc.",AN,Consumer Cyclical,Auto & Truck Dealerships,6883961344,170.96,274766,https://www.autonation.com,14697068544,21.16,19.93,N/A,3.0154867,8.278,0.08645,0.42122
"AnaptysBio, Inc.",ANAB,Healthcare,Biotechnology,684877312,25.07,185611,https://www.anaptysbio.com,657785408,-6.14,-6.33,N/A,14.333905,-4.265,-0.20216,-1.36727
"The Andersons, Inc.",ANDE,Consumer Defensive,Food Distribution,1752543232,51.47,111697,https://andersonsinc.com,2266418688,3.54,3.6,0.0148,1.359231,6.382,0.03926,0.14479999
"Anebulo Pharmaceuticals, Inc.",ANEB,Healthcare,Biotechnology,59643768,2.2999,7238,https://www.anebulo.com,54557876,-0.41,-0.55,N/A,9.1996,N/A,-0.54648,-0.95365995
"Arista Networks, Inc.",ANET,Technology,Computer Hardware,100241694720,319.89,1367607,https://www.arista.com,94792024064,7.2,8.93,N/A,12.759364,37.881,0.16806999,0.34697
Abercrombie & Fitch Company,ANF,Consumer Cyclical,Apparel Retail,7133889536,139.61,1425305,https://www.abercrombie.com,7286250496,6.23,8.14,N/A,6.810909,11.527,0.10792,0.38189998
Austin Engineering Ltd,ANG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anghami Inc.,ANGH,Communication Services,Entertainment,69362904,1.04,38749,https://www.anghami.com,N/A,-0.6,N/A,N/A,N/A,N/A,-0.37062,N/A
Anghami Inc. Warrants,ANGHW,Communication Services,Entertainment,N/A,0.0324,45,https://www.anghami.com,N/A,-185.241,N/A,N/A,0.00019540438,N/A,-0.37062,N/A
Angi Inc.,ANGI,Communication Services,Internet Content & Information,1108849920,2.21,521502,https://www.angi.com,1245772544,-0.03,0.05,N/A,1.0707365,14.715,-0.00433,-0.016619999
"AngioDynamics, Inc.",ANGO,Healthcare,Medical Instruments & Supplies,241929184,6.04,308141,https://www.angiodynamics.com,167445376,-4.8,-0.49,N/A,1.116451,-34.068,-0.048070002,-0.62421
Anika Therapeutics Inc.,ANIK,Healthcare,Medical Instruments & Supplies,376643904,25.4,39178,https://www.anika.com,336486784,-5.24,0.58,N/A,1.8052595,84.333,-0.01812,-0.3161
"ANI Pharmaceuticals, Inc.",ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,1287671040,61.43,150139,https://www.anipharmaceuticals.com,1269383296,1.61,4.99,N/A,2.6405606,11.296,0.03914,0.08708999
"Anixa Biosciences, Inc.",ANIX,Healthcare,Biotechnology,90914424,2.85,73663,https://www.anixa.com,66277432,-0.34,-0.45,N/A,3.6774194,N/A,-0.28093,-0.4302
Adlai Nortye Ltd.,ANL,Healthcare,Biotechnology,488928960,13.25,1837,https://www.adlainortye.com,1399610624,-7.26,-2.41,N/A,6.1570635,-21.106,-0.4164,N/A
"Annexon, Inc.",ANNX,Healthcare,Biotechnology,400147840,4.33,1527271,https://www.annexonbio.com,165984704,-1.46,-1.09,N/A,1.4931034,-1.288,-0.28597,-0.50595003
"Alto Neuroscience, Inc.",ANRO,Healthcare,Biotechnology,335243488,12.47,89015,https://www.altoneuroscience.com,450645856,N/A,-3.11,N/A,N/A,-12.038,-0.34375998,-0.67947
Agriculture & Natural Solutions,ANSC,Financial Services,Shell Companies,440737504,10.22,5098,https://ansc.co,440501760,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agriculture & Natural Solutions,ANSCU,Financial Services,Shell Companies,N/A,10.38,10927,https://ansc.co,447401760,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ANSYS, Inc.",ANSS,Technology,Software - Application,28609081344,327.71,400147,https://www.ansys.com,28410257408,4.98,10.46,N/A,5.288289,41.922,0.04968,0.08528
AirNet Technology Inc.,ANTE,Communication Services,Advertising Agencies,14880111,1.04,1459,https://www.ir.airnetgroup.cn,-19679046,-0.04,N/A,N/A,0.39498672,6.802,-0.025729999,N/A
"AN2 Therapeutics, Inc.",ANTX,Healthcare,Biotechnology,67711832,2.27,57251,https://www.an2therapeutics.com,-38525432,-2.74,-2.38,N/A,0.5413785,N/A,-0.36071998,-0.58827996
"Annovis Bio, Inc.",ANVS,Healthcare,Biotechnology,92835168,8.31,471255,https://www.annovisbio.com,89698032,-5.14,-2.06,N/A,N/A,N/A,-1.6064999,-5.66487
Sphere 3D Corp.,ANY,Technology,Software - Application,18854356,1.03,313026,https://sphere3d.com,17231222,-1.86,-1.69,N/A,0.6670984,-1.977,-0.16799,-0.48084
Aberdeen Total Dynamic Dividend,AOD,Financial Services,Asset Management,886674688,8.41,214878,https://www.alpinefunds.com/default.asp?P=856340&S=857569,934980160,0.63,N/A,0.081999995,0.9848929,N/A,0.041750003,0.07186
Arogo Capital Acquisition Corp.,AOGO,Financial Services,Shell Companies,53067552,10.96,16968,https://arogocapital.com,54367720,0.53,N/A,N/A,N/A,N/A,-0.01097,N/A
Arogo Capital Acquisition Corp.,AOGOW,Financial Services,Shell Companies,N/A,0.0326,1881,https://arogocapital.com,N/A,N/A,N/A,N/A,4.075,N/A,-0.01097,N/A
"Angel Oak Mortgage REIT, Inc.",AOMR,Real Estate,REIT - Mortgage,316809632,12.69,61197,https://angeloakreit.com,1902413312,1.84,1.22,0.1009,1.2030716,N/A,0.01899,0.18144
Aon plc,AON,Financial Services,Insurance Brokers,63587700736,292.45,967800,https://www.aon.com,74713628672,12.78,17.29,0.0092,N/A,16.953,0.06921,176.13332
"American Oncology Network, Inc.",AONC,Healthcare,Medical Care Facilities,37417008,3.01,65387,https://www.aoncology.com,268520928,-1.73,N/A,N/A,N/A,-10.856,-0.055209998,-1.02046
N/A,AONCW,Healthcare,Medical Care Facilities,N/A,0.2092,1485,https://www.aoncology.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.055209998,-1.02046
"Artivion, Inc.",AORT,Healthcare,Medical Devices,979088960,23.46,111970,https://artivion.com,1291179008,-0.24,-0.04,N/A,3.319185,28.553,0.017819999,-0.03348
A.O. Smith Corporation,AOS,Industrials,Specialty Industrial Machinery,12566685696,85.68,634853,https://www.aosmith.com,12409695232,3.85,4.35,0.0149,6.678098,15.04,0.14313,0.31443
Alpha and Omega Semiconductor L,AOSL,Technology,Semiconductors,781547264,27.23,101369,https://www.aosmd.com,923817536,-0.34,0.66,N/A,0.8790393,17.817,0.00017999999,-0.01064
"American Outdoor Brands, Inc.",AOUT,Consumer Cyclical,Leisure,102313552,8.02,31207,https://www.aob.com,121368632,-0.82,0.49,N/A,0.56178206,24.628,-0.0278,-0.05711
Ampco-Pittsburgh Corporation,AP,Industrials,Metal Fabrication,29997358,1.51,64310,https://ampcopgh.com,165652288,-2.21,0.23,N/A,0.52908194,6.089,0.010670001,-0.45115003
APA Corporation,APA,Energy,Oil & Gas E&P,11462408192,30.88,3780482,https://www.apacorp.com,17705418752,8.91,4.99,0.0324,3.5666435,3.583,0.13976,1.21628
Artisan Partners Asset Manageme,APAM,Financial Services,Asset Management,3134611968,44.84,346519,https://www.artisanpartners.com,3511833088,3.31,3.6,0.0544,9.78612,10.891,0.13742,0.61665
AP Acquisition Corp,APCA,Financial Services,Shell Companies,178010992,11.4,3343,https://www.apacquisitioncorp.com,180795520,0.17,N/A,N/A,N/A,N/A,-0.01907,N/A
AppTech Payments Corp.,APCX,Technology,Software - Infrastructure,23205710,0.9401,57010,https://www.apptechcorp.com,21846600,-1.01,-0.34,N/A,5.6975756,-1.902,-0.75875,-2.63979
AppTech Payments Corp. Warrant,APCXW,Technology,Software - Infrastructure,N/A,0.4,6620,https://www.apptechcorp.com,N/A,-7.169,N/A,N/A,5.063291,N/A,-0.75875,-2.63979
"Air Products and Chemicals, Inc",APD,Basic Materials,Specialty Chemicals,58399789056,262.7,2877868,https://www.airproducts.com,71513858048,11.06,13.43,0.026700001,3.915928,17.378,0.05179,0.16115999
"Applied DNA Sciences, Inc.",APDN,Healthcare,Diagnostics & Research,2471667,2.51,63412,https://www.adnas.com,188900,-17.63,-2.49,N/A,N/A,-0.014,-0.63653,-2.5230498
"American Public Education, Inc.",APEI,Consumer Defensive,Education & Training Services,323206080,18.39,82739,https://www.apei.com,441510432,-2.62,1.51,N/A,1.2988205,7.768,0.0336,-0.12997
APi Group Corporation,APG,Industrials,Engineering & Construction,9827703808,35.83,2049731,https://www.apigroupinc.com,12557702144,-2.07,2.11,N/A,4.073906,18.252,0.03259,0.065359995
"Apogee Therapeutics, Inc.",APGE,Healthcare,Biotechnology,2835864064,50.31,379725,https://www.apogeetherapeutics.com,2126497664,N/A,-3.24,N/A,3.6693165,N/A,-0.15342,-0.22215
Amphenol Corporation,APH,Technology,Electronic Components,79225683968,131.91,2913672,https://www.amphenol.com,81654669312,3.27,3.83,0.0067000003,9.127457,26.379,0.10441,0.25445
"Agora, Inc.",API,Technology,Software - Application,266543728,2.92,542670,https://www.agora.io/en/,864720768,-0.88,-0.11,N/A,0.44518983,-19.765,-0.04694,-0.13086
Applied Digital Corporation,APLD,Financial Services,Capital Markets,555033216,4.14,4681481,https://applieddigital.com,798016704,-0.85,-0.73,N/A,4.2768593,-25.231,-0.07231,-0.96983004
"Apple Hospitality REIT, Inc.",APLE,Real Estate,REIT - Hotel & Motel,3540675072,14.61,2484410,https://www.applehospitalityreit.com,5124158976,0.85,0.87,0.0657,1.0619276,11.586,0.03289,0.06123
Apollomics Inc.,APLM,Healthcare,Biotechnology,29730504,0.3322,105276,https://www.apollomicsinc.com,-3432498,-2.32,-0.63,N/A,0.72060734,0.064,-0.50762004,N/A
Apollomics Inc. Warrant,APLMW,N/A,N/A,37354776,N/A,32770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Apellis Pharmaceuticals, Inc.",APLS,Healthcare,Biotechnology,5013629440,41.31,857458,https://www.apellis.com,4789203968,-3.43,1.25,N/A,18.785814,-11.904,-0.27897,-1.22944
"Applied Therapeutics, Inc.",APLT,Healthcare,Biotechnology,478778752,4.19,600068,https://www.appliedtherapeutics.com,332386336,-1.91,-0.39,N/A,7.1137524,-4.446,-0.51569,-6.12331
Aptorum Group Limited,APM,Healthcare,Biotechnology,25987724,4.75,24387,https://www.aptorumgroup.com,14744198,-0.62,-0.71,N/A,0.9906152,-1.536,-0.32296002,-0.37395
"Apollo Global Management, Inc. ",APO,Financial Services,Asset Management,64342978560,113.08,1388614,https://www.apollo.com,74629963776,8.9,9.04,0.0164,4.805576,N/A,0.02229,0.30105
"Apogee Enterprises, Inc.",APOG,Industrials,Building Products & Equipment,1472543488,66.54,101192,https://www.apog.com,1537304576,4.51,4.87,0.015,3.1204278,8.185,0.10158,0.22966999
"Apollo Global Management, Inc. ",APOS,N/A,N/A,N/A,N/A,11603,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Applovin Corporation,APP,Technology,Software - Application,27140366336,82.49,3335966,https://www.applovin.com,30229454848,1.66,3.88,N/A,35.694504,21.576,0.10373,0.44939
"AppFolio, Inc.",APPF,Technology,Software - Application,8712557568,240.59,165419,https://www.appfolioinc.com,8513310208,2.12,5.24,N/A,25.378693,111.08,0.10715,0.26381
Appian Corporation,APPN,Technology,Software - Infrastructure,2394806016,33.15,316403,https://www.appian.com,2549396736,-1.46,-0.15,N/A,N/A,-33.342,-0.08663,-2.01501
"Digital Turbine, Inc.",APPS,Technology,Software - Application,254032288,2.49,1430208,https://www.digitalturbine.com,579208128,-1.97,0.45,N/A,0.56823367,9.615,-0.0092,-0.37556
"Aprea Therapeutics, Inc.",APRE,Healthcare,Biotechnology,28617260,5.27,7891,https://www.aprea.com,11688209,-3.95,-0.78,N/A,1.1615604,-0.756,-0.36625,-0.63189
"Alpha Pro Tech, Ltd.",APT,Industrials,Building Products & Equipment,56222648,4.81,57018,https://www.alphaprotech.com,54617648,0.35,1.16,N/A,0.89189684,10.798,0.03867,0.06849
"Aptose Biosciences, Inc.",APTO,Healthcare,Biotechnology,19285094,1.18,89412,https://www.aptose.com,11095772,-7.58,-2.1,N/A,N/A,-0.212,-1.02232,-2.93955
Aptiv PLC,APTV,Consumer Cyclical,Auto Parts,22339012608,82.11,1378871,https://www.aptiv.com,28467042304,10.64,7.79,N/A,2.0087583,9.915,0.05382,0.29249
Aptevo Therapeutics Inc.,APVO,Healthcare,Biotechnology,3264136,0.8,160544,https://www.aptevotherapeutics.com,-10278198,-67.07,-8.13,N/A,0.02896347,0.363,-0.61123,-1.2353
Asia Pacific Wire & Cable Corpo,APWC,Industrials,Electrical Equipment & Parts,30408896,1.475,2263,https://www.apwcc.com,105820936,0.19,N/A,N/A,0.19362037,15.39,0.0025600002,0.0014200001
APx Acquisition Corp. I,APXI,Financial Services,Shell Companies,113867280,11.49,3020,N/A,113857952,0.4,N/A,N/A,N/A,N/A,-0.00915,N/A
Apyx Medical Corporation,APYX,Healthcare,Medical Devices,55430240,1.6,71775,https://apyxmedical.com,56980280,-0.66,-0.68,N/A,2.7350428,-2.843,-0.203,-0.80841005
"AquaBounty Technologies, Inc.",AQB,Consumer Defensive,Farm Products,7020541,1.82,16857,https://www.aquabounty.com,8270736,-7.17,-3.37,N/A,0.04242919,-0.329,-0.08507,-0.15441
"Aqua Metals, Inc.",AQMS,Industrials,Waste Management,49253312,0.435,1255890,https://www.aquametals.com,31593308,-0.25,-0.1,N/A,1.7975206,-1.72,-0.36578998,-1.01907
Algonquin Power & Utilities Cor,AQN,Utilities,Utilities - Renewable,4589011968,6.65,3983685,https://algonquinpower.com,15404246016,-0.49,0.5,0.0653,0.97866076,16.135,0.016549999,-0.05836
Algonquin Power & Utilities Cor,AQNB,N/A,N/A,N/A,N/A,14084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Algonquin Power & Utilities Cor,AQNU,Utilities,Utilities - Renewable,N/A,23.16,16378,https://algonquinpower.com,26791634944,0.516,N/A,N/A,3.4083884,28.062,0.016549999,-0.05836
"Aquestive Therapeutics, Inc.",AQST,Healthcare,Drug Manufacturers - Specialty & Generic,283129728,3.11,831042,https://www.aquestive.com,257205056,-0.13,-0.45,N/A,N/A,-18.733,-0.16489,N/A
Aquaron Acquisition Corp.,AQU,Financial Services,Shell Companies,49856992,10.95,598,N/A,50885972,0.19,N/A,N/A,N/A,N/A,-0.0378,N/A
Antero Resources Corporation,AR,Energy,Oil & Gas E&P,10878244864,35.0,2301949,https://www.anteroresources.com,N/A,0.21,2.7,N/A,1.5396798,N/A,0.009649999,0.01785
Accuray Incorporated,ARAY,Healthcare,Medical Devices,161768048,1.63,506692,https://www.accuray.com,244806000,-0.22,0.03,N/A,3.937198,184.759,-0.00556,-0.44867
ARB IOT Group Limited,ARBB,Technology,Information Technology Services,22376700,0.8464,82258,https://www.arbiotgroup.com,-34704552,-0.22,N/A,N/A,0.18424033,-2.009,-0.07982,-0.13442999
Arbe Robotics Ltd.,ARBE,Technology,Software - Infrastructure,129065640,1.65,90826,https://arberobotics.com,86749568,-0.71,-0.44,N/A,3.0555553,-1.873,-0.52649,-0.95765996
Arbe Robotics Ltd. Warrant,ARBEW,Technology,Software - Infrastructure,N/A,0.1875,1744,https://arberobotics.com,N/A,-1.342,N/A,N/A,0.3472222,N/A,-0.52649,-0.95765996
Argo Blockchain plc,ARBK,Financial Services,Capital Markets,84283920,1.44,175751,https://www.argoblockchain.com,828301376,-0.7,-0.01,N/A,N/A,127.864,-0.13024001,-2.83255
Argo Blockchain plc - 8.75% Sen,ARBKL,N/A,N/A,N/A,N/A,8013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ARC Document Solutions, Inc.",ARC,Industrials,Specialty Business Services,119174864,2.76,57126,https://www.e-arc.com,168330048,0.2,0.31,0.0725,0.76944524,5.53,0.02921,0.05486
ArcBest Corporation,ARCB,Industrials,Trucking,2666047488,113.78,285620,https://www.arcb.com,2843374080,4.9,11.05,0.0042,2.1828296,8.487,0.049039997,0.09916
Ares Capital Corporation,ARCC,Financial Services,Asset Management,13076943872,21.28,4351694,https://www.arescapitalcorp.com,24200208384,2.93,2.2,0.09020001,1.0898291,N/A,0.05155,0.15446
"Arch Resources, Inc.",ARCH,Basic Materials,Coking Coal,2921861376,161.28,186129,https://www.archrsc.com,2757654016,17.16,22.75,0.048699997,1.9978447,4.982,0.09811,0.21961
Arcos Dorados Holdings Inc.,ARCO,Consumer Cyclical,Restaurants,2201365504,10.45,854189,https://www.arcosdorados.com,3669881344,0.82,1.0,0.023,4.272281,7.902,0.06966,0.43367
Arcturus Therapeutics Holdings ,ARCT,Healthcare,Biotechnology,802028992,29.78,354608,https://arcturusrx.com,545555776,-4.03,-1.02,N/A,3.0366066,-4.573,-0.17221001,-0.36174
Ares Dynamic Credit Allocation ,ARDC,Financial Services,Asset Management,334328384,14.59,82601,https://www.arespublicfunds.com/funds/ardc/overview/,N/A,1.31,N/A,0.1164,N/A,N/A,N/A,N/A
"Ardelyx, Inc.",ARDX,Healthcare,Biotechnology,1827360256,7.81,2290334,https://www.ardelyx.com,1751586048,-0.28,0.14,N/A,12.108527,-28.976,-0.1383,-0.47636002
Alexandria Real Estate Equities,ARE,Real Estate,REIT - Office,21715222528,124.17,486589,https://www.are.com,37935128576,1.07,3.78,0.040900003,1.1599795,21.262,0.01291,0.01666
"American Rebel Holdings, Inc.",AREB,Consumer Cyclical,Footwear & Accessories,2351380,0.3999,370234,https://www.americanrebel.com,6634008,-3.81,0.03,N/A,0.34005103,-0.847,-0.318,-1.20996
"American Rebel Holdings, Inc. W",AREBW,N/A,N/A,N/A,N/A,1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
