Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity
"Airbnb, Inc.",ABNB,Consumer Cyclical,Travel Services,92471386112,145.66,3270342,https://www.airbnb.com,83668353024,7.47,5.09,N/A,11.732582,50.463,0.045560002,0.74907
"Acumen Pharmaceuticals, Inc.",ABOS,Healthcare,Biotechnology,219291280,3.65,78123,https://acumenpharm.com,9219381,-1.08,-1.31,N/A,0.79175705,-0.151,-0.15082,-0.22982
Arbor Realty Trust,ABR,Real Estate,REIT - Mortgage,2618473472,13.89,2126986,https://arbor.com,14019770368,1.6,1.7,0.1238,1.0671482,N/A,0.023440002,0.11625
Absci Corporation,ABSI,Healthcare,Biotechnology,521882624,4.615,545040,https://www.absci.com,463047488,-1.2,-0.74,N/A,2.4379292,-5.811,-0.21753,-0.49076
Abbott Laboratories,ABT,Healthcare,Medical Devices,181078081536,104.09,4865353,https://www.abbott.com,189365551104,3.21,5.14,0.0211,4.6658297,18.264,0.060900003,0.14762
Abits Group Inc,ABTS,Financial Services,Capital Markets,23469656,0.6601,10085,https://www.abitsgroup.com,22590494,N/A,N/A,N/A,N/A,-95.315,-0.17676,-0.71445
Arbutus Biopharma Corporation,ABUS,Healthcare,Biotechnology,562376640,2.98,745397,https://www.arbutusbio.com,441216864,-0.44,-0.39,N/A,4.685535,-5.61,-0.2931,-0.5754
"ABVC Biopharma, Inc.",ABVC,Healthcare,Biotechnology,11299629,1.07,112558,https://www.abvcpharma.com,13324854,-2.43,-0.44,N/A,1.0094341,-1.627,-0.42666,-1.91962
Abivax SA,ABVX,Healthcare,Biotechnology,887910848,13.64,16361,https://www.abivax.com,671669888,-3.73,-3.11,N/A,4.3788123,-5.278,-0.39571998,-1.4541401
"Associated Capital Group, Inc.",AC,Financial Services,Asset Management,732355904,34.22,1269,https://www.associated-capital-group.com,316258432,1.72,2.59,0.006,0.8126143,-19.067,-0.01132,0.04161
"Arcosa, Inc.",ACA,Industrials,Engineering & Construction,4205787136,86.57,202001,https://www.arcosa.com,4673790976,2.92,4.2,0.0023,1.7723773,13.642,0.031600002,0.06182
Atlantic Coastal Acquisition Co,ACAB,Financial Services,Shell Companies,93271592,11.42,162,N/A,94822064,0.15,N/A,N/A,N/A,N/A,-0.00599,N/A
Atlantic Coastal Acquisition Co,ACABU,Financial Services,Shell Companies,N/A,11.27,413,N/A,93678632,N/A,N/A,N/A,N/A,N/A,-0.00599,N/A
Atlantic Coastal Acquisition Co,ACABW,Financial Services,Shell Companies,N/A,0.1,30,N/A,N/A,N/A,N/A,N/A,33.333332,N/A,-0.00599,N/A
Acri Capital Acquisition Corpor,ACAC,Financial Services,Shell Companies,44561688,11.22,100,N/A,62471036,-0.34,N/A,N/A,N/A,N/A,-0.00791,N/A
ACADIA Pharmaceuticals Inc.,ACAD,Healthcare,Biotechnology,2443618560,14.79,1542213,https://www.acadia.com,2032738816,N/A,1.11,N/A,5.257732,334.938,-0.00379,-0.00408
Aurora Cannabis Inc.,ACB,Healthcare,Drug Manufacturers - Specialty & Generic,402562048,7.38,4761196,https://www.auroramj.com,399029600,-58.24,-0.32,N/A,0.68005896,-11.973,N/A,N/A
Ace Global Business Acquisition Limited Warrant,ACBAW,Financial Services,Shell Companies,N/A,0.0363,29000,https://aceglobal-acq.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Accolade, Inc.",ACCD,Healthcare,Health Information Services,586109568,7.48,534344,https://www.accolade.com,590724672,-1.33,-1.08,N/A,1.3109008,-8.298,-0.08396,-0.21714
Acco Brands Corporation,ACCO,Industrials,Business Equipment & Supplies,492544448,5.15,332679,https://www.accobrands.com,1421144576,-0.26,1.24,0.0583,0.64935064,6.716,0.03549,-0.03112
ProFrac Holding Corp.,ACDC,Energy,Oil & Gas Equipment & Services,1441023360,9.01,2168034,https://www.pfholdingscorp.com,2724023808,-1.22,1.48,N/A,1.1849027,4.7,0.026080001,-0.083170004
"Accel Entertainment, Inc.",ACEL,Consumer Cyclical,Gambling,845836672,10.1,308796,https://www.accelentertainment.com,1130059520,0.51,0.85,N/A,4.185661,6.776,0.075289994,0.22795
"Adicet Bio, Inc.",ACET,Healthcare,Biotechnology,131477608,1.6,1048360,https://www.adicetbio.com,-96075392,-2.94,-1.67,N/A,0.5079365,0.777,-0.27197,-0.53253
Arch Capital Group Ltd.,ACGL,Financial Services,Insurance - Diversified,37921140736,100.99,1402427,https://www.archgroup.com,38156193792,12.67,8.84,N/A,2.0376499,9.398,0.04355,0.2905
Arch Capital Group Ltd. - Depos,ACGLN,Financial Services,Insurance - Diversified,N/A,19.74,36083,https://www.archgroup.com,7771160576,4.691,N/A,0.057600003,0.398289,1.914,0.04355,0.2905
Arch Capital Group Ltd. - Depos,ACGLO,Financial Services,Insurance - Diversified,13376062464,22.94,10202,https://www.archgroup.com,8967863296,4.691,N/A,0.0594,0.46285462,2.209,0.04355,0.2905
"Acadia Healthcare Company, Inc.",ACHC,Healthcare,Medical Care Facilities,6155594752,66.35,680042,https://www.acadiahealthcare.com,8199346176,-0.13,3.93,N/A,2.1200113,12.414,0.061950002,-0.00117
Achilles Therapeutics plc,ACHL,Healthcare,Biotechnology,40475136,0.9478,115040,https://www.achillestx.com,-69166888,-1.6,-1.1,N/A,0.29880202,1.046,-0.2508,-0.40842998
Archer Aviation Inc.,ACHR,Industrials,Aerospace & Defense,1197164672,3.7,5231535,https://www.archer.com,825164224,-1.59,-1.06,N/A,3.122363,-1.758,-0.58652,-1.16888
"Achieve Life Sciences, Inc.",ACHV,Healthcare,Biotechnology,171706496,5.0,108558,https://www.achievelifesciences.com,122502512,-1.26,-0.89,N/A,3.4626038,-5.015,-0.3393,-1.09489
"Albertsons Companies, Inc.",ACI,Consumer Defensive,Grocery Stores,11906153472,20.62,2497497,https://www.albertsonscompanies.com,25933545472,2.23,2.59,0.0233,4.322851,6.394,0.05625,0.58857
American Coastal Insurance Corp,ACIC,Financial Services,Insurance - Property & Casualty,629423040,13.16,311897,https://www.amcoastal.com,559769280,1.63,1.5,N/A,1.7745415,5.338,0.0484,0.51334
AC Immune SA,ACIU,Healthcare,Biotechnology,314498496,3.18,550055,https://www.acimmune.com,117482440,-0.7,-0.25,N/A,1.8596491,-2.261,-0.18178,-0.32904997
"ACI Worldwide, Inc.",ACIW,Technology,Software - Infrastructure,3953999872,37.5,358024,https://www.aciworldwide.com,4841539072,1.35,1.81,N/A,3.169907,14.633,0.05465,0.12048
"Axcelis Technologies, Inc.",ACLS,Technology,Semiconductor Equipment & Materials,3683655168,113.23,283479,https://www.axcelis.com,3227902720,7.58,8.1,N/A,4.0940814,11.565,0.14194,0.31201
"Arcellx, Inc.",ACLX,Healthcare,Biotechnology,2868809472,53.62,439339,https://www.arcellx.com,2382251008,-1.03,-2.13,N/A,5.753836,-32.724,-0.06705,-0.12630999
AECOM,ACM,Industrials,Engineering & Construction,12199702528,89.62,594727,https://aecom.com,14037762048,0.87,5.05,0.0098,5.538253,13.747,0.04654,0.065960005
"ACM Research, Inc.",ACMR,Technology,Semiconductor Equipment & Materials,1475804672,23.8,1122715,https://www.acmrcsh.com,1483239424,1.31,1.87,N/A,1.8535825,12.253,0.04888,0.12264
Accenture plc,ACN,Technology,Information Technology Services,190875844608,303.59,4229189,https://www.accenture.com,189742317568,11.02,13.11,0.017,7.0386257,16.825,0.12888,0.27381
ACNB Corporation,ACNB,Financial Services,Banks - Regional,289662528,33.92,6601,https://www.acnb.com,511579392,3.45,3.39,0.0377,1.0348089,N/A,0.012200001,0.10987
Ascent Industries Co.,ACNT,Basic Materials,Steel,102208672,10.09,14527,https://www.ascentco.com,133110504,-3.21,0.8,N/A,1.0023843,-7.987,-0.073,-0.28100002
"Aclarion, Inc.",ACON,Healthcare,Health Information Services,2321310,0.3245,638488,https://www.aclarion.com,653867,-705.6,-0.52,N/A,N/A,-0.139,-1.1340799,-6.5574102
N/A,ACONW,Healthcare,Health Information Services,N/A,0.03,5836,https://www.aclarion.com,N/A,-6.576,N/A,N/A,N/A,N/A,-1.1340799,-6.5574102
Aberdeen Income Credit Strategi,ACP,Financial Services,Asset Management,361643392,6.94,283931,https://www.aberdeenacp.com/,506621536,1.04,N/A,0.1729,1.0640908,N/A,0.049310002,0.10321999
ACRES Commercial Realty Corp.,ACR,Real Estate,REIT - Mortgage,104577456,13.14,21896,https://www.acresreit.com,1697624320,0.7,2.3,N/A,0.23543747,N/A,0.01097,0.055320002
Ares Commercial Real Estate Cor,ACRE,Real Estate,REIT - Mortgage,371736384,6.82,351626,https://www.arescre.com,1751658496,-0.83,0.64,0.1466,0.6173063,N/A,-0.019650001,-0.06784
"Aclaris Therapeutics, Inc.",ACRS,Healthcare,Diagnostics & Research,84805120,1.19,443984,https://www.aclaristx.com,-39886904,-1.09,-0.63,N/A,0.5970898,N/A,-0.319,-0.48466998
"Acrivon Therapeutics, Inc.",ACRV,Healthcare,Biotechnology,274495648,8.89,57683,https://www.acrivon.com,168965920,-2.89,-2.49,N/A,1.8637317,-2.423,-0.3026,-0.47769
"Acasti Pharma, Inc.",ACST,Healthcare,Biotechnology,25284386,2.69,15084,https://www.acastipharma.com,194396,-5.68,-1.13,N/A,0.39093155,-0.016,-0.07921,-0.48047
"Enact Holdings, Inc.",ACT,Financial Services,Insurance - Specialty,4956271104,31.51,148457,https://enactmi.com,5078077952,4.04,3.97,0.0235,1.0541987,N/A,0.091029994,0.14439
Acacia Research Corporation,ACTG,Industrials,Business Equipment & Supplies,538118400,5.38,203879,https://www.acaciaresearch.com,76624096,0.61,0.56,N/A,0.94701636,1.695,0.03081,0.12118
Acme,ACU,Consumer Defensive,Household & Personal Products,143472464,39.18,11149,https://www.acmeunited.com,180100992,4.97,2.59,0.0153,1.4432002,9.654,0.053489998,0.20579
568516,ACV,Financial Services,Asset Management,234582976,22.62,8160,N/A,N/A,-3.67,N/A,0.1233,N/A,N/A,N/A,N/A
ACV Auctions Inc.,ACVA,Consumer Cyclical,Auto & Truck Dealerships,3073938688,18.62,1145441,https://www.acvauto.com,2889359872,-0.49,-0.05,N/A,6.688219,-39.542,-0.05311,-0.16510001
"Acurx Pharmaceuticals, Inc.",ACXP,Healthcare,Biotechnology,35646976,2.25,37279,https://www.acurxpharma.com,26726054,-1.18,-2.32,N/A,5.905512,N/A,-1.21654,-2.83867
Adagene Inc.,ADAG,Healthcare,Biotechnology,112600344,2.55,8398,https://www.adagene.com,53123000,-0.44,-0.9,N/A,1.5947467,-2.336,-0.11058,-0.24662
Adaptimmune Therapeutics plc,ADAP,Healthcare,Biotechnology,283673824,1.11,1048408,https://www.adaptimmune.com,1714675584,-0.54,-0.36,N/A,6.3793106,-13.375,-0.28215998,-1.8761001
Adobe Inc.,ADBE,Technology,Software - Infrastructure,216576638976,483.43,2152139,https://www.adobe.com,213842640896,10.49,20.37,N/A,14.165202,28.178,0.15724,0.32367
Agree Realty Corporation,ADC,Real Estate,REIT - Retail,6111955968,60.53,516600,https://www.agreerealty.com,8776756224,1.69,1.94,0.0496,1.214535,20.379,0.0229,0.03484
ADC Therapeutics SA,ADCT,Healthcare,Biotechnology,394526208,4.1,411267,https://www.adctherapeutics.com,228148400,-2.77,-1.57,N/A,N/A,-1.54,-0.24075001,N/A
"Color Star Technology Co., Ltd.",ADD,Communication Services,Entertainment,5695283,0.253,1062888,https://colorstarinternational.com,6343328,-4.13,N/A,N/A,0.16568434,-0.28,-0.42637002,-1.03471
Adeia Inc.,ADEA,Technology,Software - Application,1261936384,11.63,376120,https://adeia.com,1729422592,0.35,1.49,0.0172,3.6039665,8.437,0.06163,0.11672
"Analog Devices, Inc.",ADI,Technology,Semiconductors,106163986432,214.08,2371666,https://www.analog.com,111887966208,5.61,7.55,0.0172,2.9864821,19.695,0.043730002,0.07813
"Adial Pharmaceuticals, Inc",ADIL,Healthcare,Biotechnology,6285033,1.55,134795,https://www.adialpharma.com,3011917,-4.91,-1.59,N/A,0.6313646,-0.437,-0.82238996,-1.90268
Archer-Daniels-Midland Company,ADM,Consumer Defensive,Farm Products,30467270656,61.62,2842405,https://www.adm.com,41245257728,5.73,5.52,0.0325,1.332238,9.129,0.03861,0.12365
ADMA Biologics Inc,ADMA,Healthcare,Biotechnology,2134960768,9.21,3626074,https://www.admabiologics.com,2231064832,-0.02,0.54,N/A,13.891403,40.221,0.08505999,-0.024349999
"Advent Technologies Holdings, I",ADN,Utilities,Utilities - Renewable,8412950,3.25,45322,https://www.advent.energy,14227216,-52.5,-0.02,N/A,0.20650655,-0.318,-0.33087003,-1.3329101
Adient plc,ADNT,Consumer Cyclical,Auto Parts,2615663360,29.12,935061,https://www.adient.com,4883664384,1.63,3.56,N/A,1.2605516,6.229,0.029590001,0.09828
"Advent Technologies Holdings, I",ADNWW,Utilities,Utilities - Renewable,N/A,0.0063,22355,https://www.advent.energy,N/A,N/A,N/A,N/A,N/A,N/A,-0.33087003,-1.3329101
"Automatic Data Processing, Inc.",ADP,Industrials,Staffing & Employment Services,103276404736,252.33,1291493,https://www.adp.com,103379877888,8.96,9.98,0.0222,22.349867,18.84,0.04958,0.88922995
Adaptive Biotechnologies Corpor,ADPT,Healthcare,Biotechnology,531998464,3.61,1572238,https://www.adaptivebiotech.com,451019648,-1.49,-1.09,N/A,1.9356568,-2.635,-0.17104,-0.6158
Ault Disruptive Technologies Co,ADRT,Financial Services,Shell Companies,41190520,14.0,129,https://aultdisruptive.com,42518188,0.1,N/A,N/A,N/A,N/A,-0.01342,N/A
ADS-TEC ENERGY PLC,ADSE,Industrials,Electrical Equipment & Parts,548845120,10.85,41257,https://www.ads-tec-energy.com,537023680,-1.23,-0.54,N/A,16.169897,-13.483,-0.20648001,-0.96072
ADS-TEC ENERGY PLC Warrant,ADSEW,Industrials,Electrical Equipment & Parts,N/A,2.18,2748,https://www.ads-tec-energy.com,N/A,-100.834,N/A,N/A,N/A,N/A,-0.20648001,-0.96072
"Autodesk, Inc.",ADSK,Technology,Software - Application,47320141824,221.21,1545835,https://www.autodesk.com,47718940672,4.18,9.08,N/A,25.520306,39.146,0.07287,0.60400003
ADT Inc.,ADT,Industrials,Security & Protection Services,6536485376,7.18,2956315,https://www.adt.com,14378175488,0.17,0.85,0.0251,1.7322074,5.903,0.041020002,0.04405
"AdTheorent Holding Company, Inc",ADTH,Communication Services,Advertising Agencies,292427424,3.18,2928502,https://www.adtheorent.com,229440272,-0.05,0.09,N/A,1.8585624,-426.469,-0.01721,-0.02999
N/A,ADTHW,Communication Services,Advertising Agencies,N/A,0.42,21912,https://www.adtheorent.com,N/A,0.31,N/A,N/A,0.26481715,N/A,-0.01721,-0.02999
"ADTRAN Holdings, Inc.",ADTN,Technology,Communication Equipment,416943936,5.27,726783,https://www.adtran.com,973093568,-7.02,0.34,0.0683,1.5633343,-21.211,-0.05662,-0.54872
"Aditxt, Inc.",ADTX,Healthcare,Biotechnology,3347072,2.01,18165,https://www.aditxt.com,21458382,-108.15,-11.29,N/A,0.16510597,-0.837,-0.58897,-3.04807
Addus HomeCare Corporation,ADUS,Healthcare,Medical Care Facilities,1811537408,110.66,94170,https://www.addus.com,1862277760,4.02,5.45,N/A,2.4674456,16.033,0.06555,0.09559
